outcode,county
EH46,Peeblesshire
EH47,West Lothian
EH48,West Lothian
EH49,West Lothian
EH5,Midlothian
EH51,West Lothian
EH52,West Lothian
EH53,Midlothian
EH54,West Lothian
EH55,Midlothian
EH6,Midlothian
EH7,Midlothian
EH8,Midlothian
EH9,Midlothian
EH91,Midlothian
EH95,Midlothian
EH99,Midlothian
EN1,Middlesex
EN10,Hertfordshire
EN11,Hertfordshire
EN2,Middlesex
EN3,Middlesex
EN4,Middlesex
EN5,Hertfordshire
EN6,Middlesex
EN7,Hertfordshire
EN8,Hertfordshire
EN9,Essex
EX1,Devon
EX10,Devon
EX11,Devon
EX12,Devon
EX13,Devon
EX14,Devon
EX15,Devon
EX16,Devon
EX17,Devon
EX18,Devon
EX19,Devon
EX2,Devon
EX20,Devon
EX21,Devon
EX22,Devon
EX23,Cornwall
EX24,Devon
EX3,Devon
EX31,Devon
EX32,Devon
EX33,Devon
EX34,Devon
EX35,Devon
EX36,Devon
EX37,Devon
EX38,Devon
EX39,Devon
EX4,Devon
EX5,Devon
EX6,Devon
EX7,Devon
EX8,Devon
EX9,Devon
FK1,Stirlingshire
FK10,Clackmannanshire
FK11,Clackmannanshire
FK12,Clackmannanshire
FK13,Clackmannanshire
FK14,Clackmannanshire
FK15,Perthshire
FK16,Perthshire
FK17,Perthshire
FK18,Perthshire
FK19,Perthshire
FK2,Stirlingshire
FK20,Perthshire
FK21,Perthshire
FK3,Stirlingshire
FK4,Stirlingshire
FK5,Stirlingshire
FK6,Stirlingshire
FK7,Stirlingshire
FK8,Stirlingshire
FK9,Stirlingshire
FY1,Lancashire
FY2,Lancashire
FY3,Lancashire
FY4,Lancashire
FY5,Lancashire
FY6,Lancashire
FY7,Lancashire
FY8,Lancashire
G1,Lanarkshire
G11,Lanarkshire
G12,Lanarkshire
G13,Renfrewshire
G14,Renfrewshire
G15,Dunbartonshire
G2,Lanarkshire
G20,Lanarkshire
G21,Lanarkshire
G22,Lanarkshire
G23,Lanarkshire
G3,Lanarkshire
G31,Lanarkshire
G32,Lanarkshire
G33,Lanarkshire
G34,Lanarkshire
G4,Lanarkshire
G40,Lanarkshire
G41,Lanarkshire
G42,Lanarkshire
G43,Renfrewshire
G44,Renfrewshire
G45,Lanarkshire
G46,Renfrewshire
G5,Lanarkshire
G51,Lanarkshire
G52,Lanarkshire
G53,Renfrewshire
G58,Renfrewshire
G60,Dunbartonshire
G61,Dunbartonshire
G62,Stirlingshire
G63,Stirlingshire
G64,Lanarkshire
G65,Stirlingshire
G66,Dunbartonshire
G67,Dunbartonshire
G68,Dunbartonshire
G69,Lanarkshire
G70,Dunbartonshire
G71,Lanarkshire
G72,Lanarkshire
G73,Lanarkshire
G74,Lanarkshire
G75,Lanarkshire
G76,Renfrewshire
G77,Renfrewshire
G78,Renfrewshire
G79,Lanarkshire
G81,Dunbartonshire
G82,Dunbartonshire
G83,Dunbartonshire
G84,Dunbartonshire
G90,Lanarkshire
GL1,Gloucestershire
GL10,Gloucestershire
GL11,Gloucestershire
GL12,Gloucestershire
GL13,Gloucestershire
GL14,Gloucestershire
GL15,Gloucestershire
GL16,Gloucestershire
GL17,Gloucestershire
GL18,Gloucestershire
GL19,Gloucestershire
GL2,Gloucestershire
GL20,Gloucestershire
GL3,Gloucestershire
GL4,Gloucestershire
GL5,Gloucestershire
GL50,Gloucestershire
GL51,Gloucestershire
GL52,Gloucestershire
GL53,Gloucestershire
GL54,Gloucestershire
GL55,Gloucestershire
GL56,Gloucestershire
GL6,Gloucestershire
GL7,Gloucestershire
GL8,Gloucestershire
GL9,Gloucestershire
GU1,Surrey
GU10,Surrey
GU11,Hampshire
